score_threshold	edges_in_threshold_human_interacome	edges_in_pathway	added_pathway_edges	edges_in_combined_filtered_interacome
1	568340	2465	2384	570724
101	527963	2465	2390	530353
201	315931	2465	2408	318339
301	119540	2465	2434	121974
401	92774	2465	2435	95209
501	73771	2465	2438	76209
601	61115	2465	2446	63561
701	51462	2465	2452	53914
801	27805	2465	2453	30258
901	11549	2465	2459	14008
